username,password,role,license_no,truck_id
raam,123,driver,DL-1001,1
shyam,123,driver,DL-1002,2
raju,123,driver,DL-1003,3
amit,123,driver,DL-1004,4
rohit,123,driver,DL-1005,5
suresh,123,driver,DL-1006,6
ramesh,123,driver,DL-1007,7
mukesh,123,driver,DL-1008,8
vijay,123,driver,DL-1009,9
ajay,123,driver,DL-1010,10
vikram,123,driver,DL-1011,11
rahul,123,driver,DL-1012,12
sachin,123,driver,DL-1013,13
sanjay,123,driver,DL-1014,14
sunil,123,driver,DL-1015,15
anil,123,driver,DL-1016,16
ashok,123,driver,DL-1017,17
rajesh,123,driver,DL-1018,18
rakesh,123,driver,DL-1019,19
manish,123,driver,DL-1020,20
manoj,123,driver,DL-1021,21
pankaj,123,driver,DL-1022,22
praveen,123,driver,DL-1023,23
deepak,123,driver,DL-1024,24
dinesh,123,driver,DL-1025,25
mahesh,123,driver,DL-1026,26
naresh,123,driver,DL-1027,27
prakash,123,driver,DL-1028,28
pradeep,123,driver,DL-1029,29
mohan,123,driver,DL-1030,30
